id,booking_status_pred,Cancellation_prob
42100,0,0.06370882
42101,0,0.02421775
42102,0,0.28839874
42103,0,0.16753994
42104,0,0.49801618
42105,1,0.6147016
42106,0,0.4097076
42107,1,0.70202446
42108,0,3.7962806e-09
42109,1,0.5366349
42110,1,0.63222766
42111,0,0.18300918
42112,0,0.33143386
42113,0,0.17845762
42114,0,0.2860917
42115,1,0.7383402
42116,0,0.05370646
42117,0,0.27227375
42118,1,0.91162705
42119,1,0.8676352
42120,1,0.91657954
42121,0,0.27714476
42122,0,0.0045638387
42123,1,0.6927181
42124,1,0.8286178
42125,0,0.005644437
42126,0,4.895893e-25
42127,0,0.00828617
42128,0,0.25065944
42129,1,0.63133276
42130,1,0.87354666
42131,0,0.3086005
42132,0,0.46829763
42133,1,0.9676007
42134,0,0.42842507
42135,0,1.7251784e-14
42136,0,0.035754077
42137,0,0.4924892
42138,1,0.5853496
42139,1,0.8610189
42140,0,0.0032869265
42141,0,0.15356854
42142,1,0.5273519
42143,1,0.91899127
42144,0,0.09481131
42145,1,0.8174231
42146,0,0.04944505
42147,1,0.8429263
42148,1,0.6658368
42149,0,0.43924427
42150,0,0.25210187
42151,1,0.7501927
42152,1,0.7968651
42153,0,0.105458565
42154,0,0.444395
42155,0,0.45859942
42156,0,0.36420822
42157,0,0.011847162
42158,0,0.25458738
42159,1,0.81257653
42160,1,0.5066339
42161,0,1.1175694e-06
42162,0,0.041241482
42163,0,0.04890533
42164,1,0.50509405
42165,0,0.4576758
42166,1,0.7438641
42167,0,1.0538272e-09
42168,1,0.73306924
42169,1,0.8048142
42170,0,0.014374213
42171,0,0.32951638
42172,0,0.21770047
42173,1,0.82787967
42174,0,0.08136273
42175,0,0.24166228
42176,1,0.87832296
42177,0,0.2267197
42178,0,0.018974185
42179,1,0.9011355
42180,1,0.5942054
42181,1,0.51651
42182,1,0.79152983
42183,0,0.40291226
42184,0,0.048975624
42185,0,0.11616515
42186,0,0.15777844
42187,0,0.33108965
42188,0,0.016650513
42189,0,0.15420805
42190,0,0.16769658
42191,0,0.14760087
42192,0,0.24469241
42193,0,0.11677305
42194,0,0.19860633
42195,1,0.92191696
42196,1,0.81448805
42197,0,0.39169237
42198,1,0.7450885
42199,1,0.56712866
42200,1,0.5274154
42201,0,0.48226935
42202,0,0.44683358
42203,0,0.2620206
42204,1,0.7691199
42205,0,0.17573354
42206,0,0.008637896
42207,1,0.67534596
42208,0,0.06418959
42209,0,0.17406148
42210,0,0.15655935
42211,0,0.17669445
42212,0,0.2522641
42213,1,0.82643396
42214,1,0.6102691
42215,0,0.24328215
42216,1,0.80998296
42217,0,0.12448072
42218,0,0.027854504
42219,0,0.1468171
42220,0,0.32368344
42221,1,0.7423454
42222,0,0.4606694
42223,0,0.15131918
42224,1,0.92805827
42225,1,0.68960696
42226,1,0.8432947
42227,0,0.053622615
